# SHA-256 of each downloaded series. The series digest is the
# SHA-256 of its per-file digests, sorted and joined by newlines,
# so it does not depend on the order files arrive in.
# sha256  files  bytes  series_uid
3facfe0c0c4fd3c98bef92686445a41649d692eef15501c2acb776fc9ea9e6a4  192  32014202  1.3.6.1.4.1.14519.5.2.1.111791196996268796093950115286051702818
84ada319a3eff166ff44c40e6bb1df077473ea43fa8f05b63b2e64d86b3056f0  192  19467522  1.3.6.1.4.1.14519.5.2.1.117622485814621685356618412893042936673
85c6452f5e8dc0e6c6151b9c49b390cc36652ab5336b41df693233f26002db01  60  6075460  1.3.6.1.4.1.14519.5.2.1.118239950469950918347693988755403047235
9becf80dea87c6ee2abbb4124f91809b1b17ec4edb0a9c42a2c0a65b30a0e08a  192  32016054  1.3.6.1.4.1.14519.5.2.1.119032904660991937621033344793477568830
af589928b6bd5cf76331e403e5695bea87c7b5fb74ef9658da4426710883003d  64  7005788  1.3.6.1.4.1.14519.5.2.1.12107638695740293695168336849557679942
48d81069f8e7c544c673ebe897cadf7f842651e1b486127cec15f663b0d68b2c  93  149737484  1.3.6.1.4.1.14519.5.2.1.121531141124366545616552853198326442284
41937c00e94365da93c7ce52a2457e95e58f3009a92298b5f6f2c0b2219e6a5f  192  19448038  1.3.6.1.4.1.14519.5.2.1.124303992034325365170100560810107418805
3a4557fd73283955e7081b10daa321540248d8445971cd7641c9bcb4c55ea6db  93  149739362  1.3.6.1.4.1.14519.5.2.1.127272337756904285589431622959448551398
0e40c7065917fa01b868b19db761ef6fe8936371b0ffe62287a4e57ddadfa90d  192  19476790  1.3.6.1.4.1.14519.5.2.1.127697676022825452316760383648172480094
a0f34570bf03e1cecbe6c11e0789d0392585ffca264f71ed0fb09d8df42a1cc7  192  19464118  1.3.6.1.4.1.14519.5.2.1.128678528928767231110631635312130732332
11a5a04756eaf227275b7d3e87579777a83a65beafc5a83486c618dc844d6409  192  19433386  1.3.6.1.4.1.14519.5.2.1.132211477966347134644607066352565401550
bfcb92c4f7b1a96eb6b9daf3e59074edcd6b54aee297bbfe423f50d2369dfd59  192  19456108  1.3.6.1.4.1.14519.5.2.1.132609599091970642412315850417031958603
252c94e37e933d8a40868c9cbf1d983fbb0a3d6de26838152657ea9fab7dcbaa  900  32825874  1.3.6.1.4.1.14519.5.2.1.132911085574935975012409402955935180835
449074fd0f65f84f3e9c4844ebcb4a3b04a56be07347a3c56a40c6bfeee26f3b  900  32587730  1.3.6.1.4.1.14519.5.2.1.133327053644383833031243319072532441881
5f7167600aba31082034bad0e995bdbe5e8857f1e93838781c7b4f39306c217a  93  149736064  1.3.6.1.4.1.14519.5.2.1.135567634104410560147072566945834825738
e92edca77701cdf5859ed5de751f969b1a33c5ee11680d0b4e2f7f5fd67dfeac  93  149756730  1.3.6.1.4.1.14519.5.2.1.136120286886813749677992401285120124407
0e16a26a01424d5c52b837514739040e35245e6af973cc88cda783cfd16191be  900  33301252  1.3.6.1.4.1.14519.5.2.1.136374119349641821072784590437188812530
1558f0c9965fd5114a9d2517d53489460794f1c35351b33d95450d2933f346a4  64  7004654  1.3.6.1.4.1.14519.5.2.1.140475599254106471764302530809259449981
d41d5c9f4335c0f2de7924da24ea698b062a3eaf00a0c34662ab2024789ec799  192  19451048  1.3.6.1.4.1.14519.5.2.1.140565428871199258806400146572133540923
71566e89b5a59a1134cebfd5986db90d80f61d06cf04a209da9c1e6b17c71229  192  19422284  1.3.6.1.4.1.14519.5.2.1.142485752762307415143117810752366278708
1a5e74d3eec539024bc69869e76048d61e770c805942a646b11f3d77940c93f3  192  19451074  1.3.6.1.4.1.14519.5.2.1.142951951644235032633802111262810299090
e1c858fed36bd7b391b37ddfc8aefbcc5eba88a36e59720d2045e5a380c8d0af  900  32878078  1.3.6.1.4.1.14519.5.2.1.144504861208663803493073948822110807451
e1b28d839311473be3d500414c4315b7bbca77174dcd5c064488e8f9a553bc3a  60  6082940  1.3.6.1.4.1.14519.5.2.1.145209162808589921251728866396990261761
fa2cdf62f57a2028791ace37dd7075087c48cfc4ac65dd42ed32ffd6ba924570  192  19457194  1.3.6.1.4.1.14519.5.2.1.145940231657398981304657635077320524123
3079742e682751e30f44abb6e7d3da5953f4f4794c8b87923bda1d415a22e5bf  192  19450316  1.3.6.1.4.1.14519.5.2.1.146352254480280953074737504218124814908
11aa529f599872f6edc72f46a094ab2687fad267a395e05c95276a55573ca179  60  6084154  1.3.6.1.4.1.14519.5.2.1.14683450418688808183361858144625477019
d46db2b1731a01e6b5051bdb2f164621159a7f352a844a6dc3c7fcece0b40f06  192  32014940  1.3.6.1.4.1.14519.5.2.1.147911660348338631084347259736108238228
15bc9ac8e6893afdfced98a48bd87a3bf8fab81b8f82fec4f3866e21e7604723  900  33349544  1.3.6.1.4.1.14519.5.2.1.152630493640221777236383877156178111579
99fee6864747d6ef6c42d7a080508c0052df3e8aabed3b7a7fe59c3e802c73fe  900  33263490  1.3.6.1.4.1.14519.5.2.1.152910459779232363967902946401636166563
1ff4bd288d9b53160382dfb403d361ccadcc57924f8d10342b776e163caeba54  60  6085326  1.3.6.1.4.1.14519.5.2.1.153366542788234638577598748318862700146
504a06a9ec0a8d32b1cec83d058e454a9fd5f8463cbc1c82f40de8a0e7311af9  78  7899098  1.3.6.1.4.1.14519.5.2.1.156388748384204994373215596713466224433
47322514974f72d71622d8cb69dc6d4384a86d0594f7129ba401bea3927a1017  208  21067054  1.3.6.1.4.1.14519.5.2.1.15643337706354433931049133273650875845
43dd373287a35edbcc2f3b87f009606123bda4ae370a602d9bed577abfe64989  60  6075740  1.3.6.1.4.1.14519.5.2.1.158139503013340364005832592715597490278
b28b8917939a2a2f41d5d4e5ed59c217a48b7f3d21cb496be2c220542b1baf84  93  149739870  1.3.6.1.4.1.14519.5.2.1.159529048922668708377443247996894347490
ad8ed79ec8ce2ded92df24b50568233475d8dc8d6a2c32d7f69a88842258a9af  93  149756170  1.3.6.1.4.1.14519.5.2.1.159534959791087278728351321687176089853
167195ef8db414665bdcffec3d56bccff9c8ec452c3db9f8f455084731181ef5  192  19433750  1.3.6.1.4.1.14519.5.2.1.159597775811958312130250471928213961242
96abf00625e80ec19458336a1637b78797e86066dfbfb09d8c4b86ee27d6d70f  93  149738342  1.3.6.1.4.1.14519.5.2.1.160131556170024744553223010653329739345
ecccdb1e189f5a91db3e38a41f4a24c1c65e02254f77405aaad98c96d592288b  192  19433822  1.3.6.1.4.1.14519.5.2.1.161947478404401711309961822975037332172
afa91f34e23cf954c6a9fe0eedb37c53c002f1cdd8b64b37fc958834cfe22b25  900  33342720  1.3.6.1.4.1.14519.5.2.1.163023012035277369869427642457688475739
912463879c83dfa97415bd20145f78eac7a7899cfa9151a8d9446a951f4389f0  60  6075144  1.3.6.1.4.1.14519.5.2.1.164906788789256836052419805551402928980
40d2d4e76b694e8549ea252f175961be8c9bbf2a7437b39e29b431af0576fe64  192  19443424  1.3.6.1.4.1.14519.5.2.1.165637959847440042303038919821007135440
0062fbc16a02b04ca3ee02058caab784de5f888f9859fafc113f9c255b5da54a  900  32870990  1.3.6.1.4.1.14519.5.2.1.166592998431290234568946338727869578040
4ad2f93d7cf1ef4caf680ada53bb396ce0903ff2580b706402edf04ef32664c0  93  149757468  1.3.6.1.4.1.14519.5.2.1.166913105742428107323509303600550306455
a8c9f70e414fd92728ca69705d3a8cb5218d10a9746b02df1d2e77d23949dbe1  93  149749846  1.3.6.1.4.1.14519.5.2.1.167271569357330890940800055649068666900
cf084c5addd772ea588c97adfbc950a79f9304d512f4e1aba4fc3f04c5869f2d  900  33177116  1.3.6.1.4.1.14519.5.2.1.167489438504640637163467238942613069339
e84d701676b68fb924a96160ad21119fd1dc0b8473107460f28e4ec29762028a  900  33184048  1.3.6.1.4.1.14519.5.2.1.167626158814361482294300776457634752795
ada6649e1a9c7cdda1149ff364ea34785cf06280ab0cd5e76360ee1ade4e85a3  60  6077316  1.3.6.1.4.1.14519.5.2.1.16828287379189339194058312982655984901
342bc0e274641cbb0d90754816af34c9bf83bbe7e06a6934dbf8364b45ed4e75  192  19434142  1.3.6.1.4.1.14519.5.2.1.168534967020159097733843994450565757634
51cf5de3116e97a69dccacd7d1784979a69695de65bf797570919de5810d0058  60  6074804  1.3.6.1.4.1.14519.5.2.1.168625762383240529312038395870245808602
803a403b405d6bdbfbf87e2834fb3d08d36dc1dbdaf8f496e7b3261a7243b559  93  149765808  1.3.6.1.4.1.14519.5.2.1.17145292805191631104325810135432409394
610587f569e09019eabf56f997fd71e24fd8debe16622228165e4070c474352c  192  19450628  1.3.6.1.4.1.14519.5.2.1.172075895696359852925840056319223442665
047a7b692d0df32004ce3fbc8179071b74fbcf637e28fe563a89f165fa350f47  442  15959022  1.3.6.1.4.1.14519.5.2.1.172718051249131405009733435888732122959
411cd3cbf36ddf702c4b8e2ecf4c413364c5d607426dc282cc9647aabf76a47c  60  6074800  1.3.6.1.4.1.14519.5.2.1.173238233038984239243519723361468888961
17ebb1a064f3cc24795529db3fa61f8e6622aab162ca9482c49ededf33523d93  93  149739124  1.3.6.1.4.1.14519.5.2.1.17477950843655836376154661633927122191
f04d0379b0302d1bf089864e6c8bd374fdc2261369af6f9162dd6f6fba84f95f  192  19447610  1.3.6.1.4.1.14519.5.2.1.176616980598429253818338645512928018185
4b2a1d6cd8ad041eb2f18a76038980dffc01d8e43edf95e033d5ef55c390d030  60  6075518  1.3.6.1.4.1.14519.5.2.1.177663695392410183922973024510342226714
67d6edef0cc0b09c74d2de288e6d6167988b8956bae069c94ad4aafb1f2c4744  192  19460680  1.3.6.1.4.1.14519.5.2.1.178651656489583194271184980357660288807
566f5eb5902ee8e5efc830c16d6f626fcf97e12c2b3cf2bbf4451e3472cd93a9  192  19441914  1.3.6.1.4.1.14519.5.2.1.179029676246601157621901214548306088166
