epoch,train_loss,validation_roc_auc,validation_loss,is_selected_epoch,epoch_selection_monitor,epoch_selection_mode
1,0.3836123050042015,0.8685261125963131,0.5222578048706055,0,validation_roc_auc,max
2,0.2639750732691669,0.822325323804704,1.4605255126953125,0,validation_roc_auc,max
3,0.2263330817003403,0.9312339930889071,0.32421842217445374,0,validation_roc_auc,max
4,0.20286648396685394,0.8076058119628715,1.5563414096832275,0,validation_roc_auc,max
5,0.18536225236132292,0.9369666060414575,0.370221883058548,0,validation_roc_auc,max
6,0.17040625957638567,0.9310573455935673,0.56331467628479,0,validation_roc_auc,max
7,0.16099988913125868,0.9543268338522235,0.2708926200866699,0,validation_roc_auc,max
8,0.15200590585938958,0.9524043070755865,0.30973029136657715,0,validation_roc_auc,max
9,0.14587909524165835,0.9218187155361981,0.519525945186615,0,validation_roc_auc,max
10,0.13991446666026133,0.9418036467466533,0.4838593602180481,0,validation_roc_auc,max
11,0.131040513689652,0.9148497398608185,0.6932956576347351,0,validation_roc_auc,max
12,0.12660518168291457,0.9525643196049978,0.35861101746559143,0,validation_roc_auc,max
13,0.12322512407267786,0.9101677325115585,1.0707629919052124,0,validation_roc_auc,max
14,0.12042355253208269,0.9629036864895107,0.2797589898109436,1,validation_roc_auc,max
15,0.11377979887926833,0.9577612753383348,0.321342408657074,0,validation_roc_auc,max
16,0.1112226740428006,0.9626806987319403,0.3088001012802124,0,validation_roc_auc,max
17,0.10746144966672717,0.9387574110470659,0.5252662301063538,0,validation_roc_auc,max
18,0.10335601324605478,0.9611812319561542,0.4018458425998688,0,validation_roc_auc,max
19,0.10239820012684284,0.9571454986913828,0.3043106496334076,0,validation_roc_auc,max
20,0.09852578087423866,0.9070768539952435,0.8668325543403625,0,validation_roc_auc,max
